"ID","Family","Tribe","Genus","Species","Latitude","Longitude","Coll_Year"
"PHOTO_2185452951533368","Apidae","Ceratinini","Ceratina","Ceratina ridleyi",1.3451,103.824611,2019
"PHOTO_1735313126547355","Apidae","Ceratinini","Ceratina","Ceratina smaragdula",1.381203,103.951296,2015
"PHOTO_10155860744953044","Apidae","Ceratinini","Ceratina","Ceratina unimaculata",1.353002,103.81976,2016
"PHOTO_2166790083399655","Apidae","Ceratinini","Ceratina","Ceratina unimaculata",1.34194,103.72651,2019
"PHOTO_2398897416855586","Apidae","Ceratinini","Ceratina","Ceratina unimaculata",1.353002,103.81976,2016
"PHOTO_10155755645537767","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.411189,103.959314,2016
"PHOTO_10155851362448044","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.35598,103.82542,2017
"PHOTO_1722388424506492","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.35716,103.82102,2018
"PHOTO_1855878087824191","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.415774,103.861175,2018
"PHOTO_1906732846072048","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.30078,103.91218,2018
"PHOTO_2046240468787951","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.411189,103.959314,2019
"PHOTO_2085345738210757","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.326181,103.791436,2019
"PHOTO_3959306324148013","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.36201,103.777382,2021
"PHOTO_3959618057450173","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.28738,103.82469,2021
"PHOTO_4002015049877140","Apidae","Melectini","Thyreus","Thyreus himalayensis",1.36201,103.777382,2021
"PHOTO_1730215367057131","Apidae","Melectini","Thyreus","Thyreus lilacinus",1.446687,103.730106,2013
"PHOTO_3959306324148013","Apidae","Melectini","Thyreus","Thyreus lilacinus",1.36201,103.777382,2021
"PHOTO_1588267384585264","Apidae","Meliponini","Heterotrigona","Heterotrigona itama",1.315194,103.815995,2018
"PHOTO_1678108152267853","Apidae","Meliponini","Heterotrigona","Heterotrigona itama",1.30438,103.80265,2018
"PHOTO_3620674318011217","Apidae","Meliponini","Heterotrigona","Heterotrigona itama",1.339519,103.821367,2021
"PHOTO_4044347738977204","Apidae","Meliponini","Heterotrigona","Heterotrigona itama",1.36201,103.777382,2021
"PHOTO_1993439520734713","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.3451,103.824611,2019
"PHOTO_2318113094934019","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.3451,103.824611,2019
"PHOTO_3456350821110235","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.315194,103.815995,2020
"PHOTO_3454310514647599","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.315194,103.815995,2020
"PHOTO_3696307547114560","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.355295,103.777096,2021
"PHOTO_3666799066732075","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.3451,103.824611,2021
"PHOTO_4025222374223074","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.355295,103.777096,2021
"PHOTO_4036029329809045","Apidae","Meliponini","Homotrigona","Homotrigona apicalis",1.35999,103.82761,2021
"PHOTO_1927508897327776","Apidae","Meliponini","Lepidotrigona","Lepidotrigona terminata",1.413789,104.038264,2018
"PHOTO_2046303478781650","Apidae","Meliponini","Tetragonula","Tetragonula geissleri",1.33368,103.81209,2019
"PHOTO_2085020861576578","Apidae","Meliponini","Tetragonula","Tetragonula geissleri",1.418109,103.783638,2019
"PHOTO_3995764117168900","Apidae","Meliponini","Tetragonula","Tetragonula geissleri",1.36201,103.777382,2020
"PHOTO_2466431020102225","Apidae","Meliponini","Tetragonula","Tetragonula laeviceps",1.36201,103.777382,2019
"PHOTO_10155879944477767","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.315194,103.815995,2013
"PHOTO_10156257693456294","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.283349,103.787565,2017
"PHOTO_1598122130266456","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.304563,103.80266,2018
"PHOTO_1688077321270936","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.31312,103.78001,2018
"PHOTO_1955701891175143","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.33368,103.81209,2018
"PHOTO_2077769912301673","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.36201,103.777382,2019
"PHOTO_2254551901290139","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.30438,103.80265,2019
"PHOTO_2516483835096943","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.36201,103.777382,2019
"PHOTO_2778342058911118","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.36201,103.777382,2020
"PHOTO_1450495321695805_5","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.220167,103.847,2020
"PHOTO_1450495321695805_8","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.220167,103.847,2020
